sp_id	sp_gq_id	age	sex
938408994	450004697	19	F
938408993	450004697	22	F
938408992	450004697	19	F
938408991	450004697	19	F
938408990	450004697	24	F
938408989	450004697	24	F
938408975	450004697	19	F
938408988	450004697	22	F
938408976	450004697	21	F
938409013	450004697	19	F
938409012	450004697	19	F
938409011	450004697	19	F
938409010	450004697	20	F
938409009	450004697	21	F
938409014	450004697	23	F
938409015	450004697	21	F
938408950	450004697	18	M
938408951	450004697	21	M
938408952	450004697	17	F
938408953	450004697	17	F
938408954	450004697	19	F
938408955	450004697	21	F
938408956	450004697	18	F
938408957	450004697	23	F
938409008	450004697	19	F
938409007	450004697	19	F
938409006	450004697	23	F
938409005	450004697	18	F
938409004	450004697	19	F
938408958	450004697	19	F
938408959	450004697	29	F
938408960	450004697	19	F
938408961	450004697	20	F
938408962	450004697	18	F
938408963	450004697	21	F
938408964	450004697	23	F
938408965	450004697	20	F
938408966	450004697	18	F
938408967	450004697	21	F
942632208	450008479	32	M
942632022	450008479	35	M
942632021	450008479	36	M
942632020	450008479	52	M
942632019	450008479	32	M
942632018	450008479	22	M
942632017	450008479	20	M
942632016	450008479	22	M
942632015	450008479	27	M
942632014	450008479	47	M
942632013	450008479	57	M
942632012	450008479	54	M
942632011	450008479	41	M
942632010	450008479	31	M
942632009	450008479	29	M
942632008	450008479	39	M
942632007	450008479	55	M
942632006	450008479	28	M
942632005	450008479	28	M
942632004	450008479	30	M
942632003	450008479	45	M
942632002	450008479	36	M
942632001	450008479	25	M
942632000	450008479	31	M
942631999	450008479	31	M
942631998	450008479	34	M
942631997	450008479	31	M
942631996	450008479	36	M
942631995	450008479	60	M
942631994	450008479	34	M
942631993	450008479	52	M
942631992	450008479	18	M
942631991	450008479	44	M
942631990	450008479	48	M
942631989	450008479	39	M
942631988	450008479	26	M
942631987	450008479	50	M
942631986	450008479	39	M
942631985	450008479	29	M
942631984	450008479	51	M
942631983	450008479	44	M
942631982	450008479	27	M
942631981	450008479	41	M
942631980	450008479	46	M
942631979	450008479	38	M
942631978	450008479	24	M
942631977	450008479	39	M
942631976	450008479	46	M
942631975	450008479	64	M
942631974	450008479	39	M
942631973	450008479	38	M
942631972	450008479	35	M
942631971	450008479	48	M
942631970	450008479	45	M
942631969	450008479	37	M
942631968	450008479	30	M
942631967	450008479	56	M
942631966	450008479	33	M
942631965	450008479	54	M
942631964	450008479	55	M
942631963	450008479	59	M
942631962	450008479	48	M
942631961	450008479	30	M
942631960	450008479	60	M
942631959	450008479	45	M
942631958	450008479	22	M
942631957	450008479	34	M
942631956	450008479	26	M
942631955	450008479	35	M
942631954	450008479	43	M
942631953	450008479	37	M
942631952	450008479	54	M
942631951	450008479	21	M
942631950	450008479	21	M
942631949	450008479	42	M
942631948	450008479	24	M
942631947	450008479	48	M
942631946	450008479	43	M
942631945	450008479	47	M
942631944	450008479	41	M
942631943	450008479	54	M
942631942	450008479	53	M
942631941	450008479	53	M
942631940	450008479	36	M
942631939	450008479	22	M
942631938	450008479	19	M
942631937	450008479	38	M
942631936	450008479	32	M
942631935	450008479	39	M
942631934	450008479	21	M
942631933	450008479	21	M
942631932	450008479	37	M
942631931	450008479	29	M
942631930	450008479	36	M
942631929	450008479	27	M
942631928	450008479	29	M
942631927	450008479	37	M
942631926	450008479	46	M
942631925	450008479	38	M
942631924	450008479	48	M
942631923	450008479	37	M
942631922	450008479	20	M
942631921	450008479	50	M
942631920	450008479	41	M
942631919	450008479	50	M
942631918	450008479	31	M
942631917	450008479	49	M
942631916	450008479	34	M
942631915	450008479	64	M
942631914	450008479	40	M
942631913	450008479	28	M
942631912	450008479	38	M
942631911	450008479	41	M
942631910	450008479	49	M
942631909	450008479	50	M
942631908	450008479	29	M
942631907	450008479	24	M
942631906	450008479	38	M
942631905	450008479	53	M
942631904	450008479	31	M
942631903	450008479	38	M
942631902	450008479	32	M
942631901	450008479	19	M
942631900	450008479	53	M
942631899	450008479	37	M
942631898	450008479	29	M
942631897	450008479	36	M
942631896	450008479	21	M
942631895	450008479	31	M
942631894	450008479	33	M
942631893	450008479	44	M
942631892	450008479	36	M
942631891	450008479	33	M
942631890	450008479	22	M
942631889	450008479	34	M
942631888	450008479	24	M
942631887	450008479	29	M
942631886	450008479	33	M
942631885	450008479	27	M
942631884	450008479	32	M
942631883	450008479	52	M
942631882	450008479	54	M
942631881	450008479	49	M
942631880	450008479	52	M
942631879	450008479	42	M
942631878	450008479	40	M
942631877	450008479	54	M
942631876	450008479	53	M
942631875	450008479	32	M
942631874	450008479	26	M
942631873	450008479	52	M
942631872	450008479	38	M
942631871	450008479	34	M
942631870	450008479	56	M
942631869	450008479	37	M
942631868	450008479	49	M
942631867	450008479	53	M
942631866	450008479	20	M
942631865	450008479	32	M
942631864	450008479	48	M
942631863	450008479	24	M
942631862	450008479	61	M
942631861	450008479	37	M
942631860	450008479	34	M
942631859	450008479	39	M
942631858	450008479	33	M
942631857	450008479	26	M
942631856	450008479	33	M
942631855	450008479	36	M
942631854	450008479	35	M
942631853	450008479	22	M
942631852	450008479	28	M
942631851	450008479	58	M
942631850	450008479	23	M
942631849	450008479	25	M
942631848	450008479	33	M
942631847	450008479	23	M
942631846	450008479	32	M
942631845	450008479	50	M
942631844	450008479	22	M
942631843	450008479	28	M
942631842	450008479	39	M
942631841	450008479	56	M
942631840	450008479	34	M
942631839	450008479	24	M
942631838	450008479	42	M
942631837	450008479	49	M
942631836	450008479	48	M
942631835	450008479	33	M
942631834	450008479	25	M
942631833	450008479	28	M
942631832	450008479	25	M
942631831	450008479	25	M
942631830	450008479	23	M
942631829	450008479	47	M
942631828	450008479	20	M
942631827	450008479	32	M
942631826	450008479	43	M
942631825	450008479	47	M
942631824	450008479	27	M
942631823	450008479	27	M
942631822	450008479	50	M
942631821	450008479	21	M
942631820	450008479	39	M
942631819	450008479	33	M
942631818	450008479	29	M
942631817	450008479	22	M
942631816	450008479	32	M
942631815	450008479	33	M
942631814	450008479	18	M
942631813	450008479	31	M
942631812	450008479	36	M
942631811	450008479	36	M
942631810	450008479	27	M
942631809	450008479	41	M
942631808	450008479	40	M
942631807	450008479	25	M
942631806	450008479	63	M
942631805	450008479	51	M
942631804	450008479	27	M
942631803	450008479	52	M
942631802	450008479	33	M
942631801	450008479	43	M
942631800	450008479	19	M
942631799	450008479	54	M
942631798	450008479	39	M
942631797	450008479	29	M
942631796	450008479	46	M
942631795	450008479	36	M
942631794	450008479	41	M
942631793	450008479	42	M
942631792	450008479	22	M
942631791	450008479	44	M
942631790	450008479	41	M
942631789	450008479	29	M
942631788	450008479	31	M
942631787	450008479	49	M
942631786	450008479	44	M
942631785	450008479	37	M
942631784	450008479	40	M
942631783	450008479	40	M
942631782	450008479	53	M
942631781	450008479	34	M
942631780	450008479	51	M
942631779	450008479	39	M
942631778	450008479	45	M
942631777	450008479	39	M
942631776	450008479	28	M
942631775	450008479	46	M
942631774	450008479	27	M
942631773	450008479	56	M
942631772	450008479	30	M
942631771	450008479	46	M
942631770	450008479	54	M
942631769	450008479	21	M
942631768	450008479	38	M
942631767	450008479	34	M
942631766	450008479	25	M
942631765	450008479	40	M
942631764	450008479	39	M
942631763	450008479	33	M
942631762	450008479	44	M
942631761	450008479	35	M
942631760	450008479	33	M
942631759	450008479	62	M
942631758	450008479	33	M
942631757	450008479	45	M
942631756	450008479	39	M
942631755	450008479	42	M
942631754	450008479	41	M
942631753	450008479	34	M
942631752	450008479	28	M
942631751	450008479	35	M
942631750	450008479	57	M
942631749	450008479	34	M
942631748	450008479	32	M
942631747	450008479	22	M
942631746	450008479	31	M
942631745	450008479	31	M
942631744	450008479	28	M
942631743	450008479	44	M
942631742	450008479	48	M
942631741	450008479	31	M
942631740	450008479	26	M
942631739	450008479	58	M
942631738	450008479	26	M
942631737	450008479	47	M
942631736	450008479	62	M
942631735	450008479	32	M
942631734	450008479	26	M
942631733	450008479	54	M
942631732	450008479	30	M
942631731	450008479	60	M
942631730	450008479	35	M
942631729	450008479	33	M
942631728	450008479	18	M
942631727	450008479	33	M
942631726	450008479	38	M
942631725	450008479	23	M
942631724	450008479	26	M
942631723	450008479	54	M
942631722	450008479	30	M
942631721	450008479	20	M
942631720	450008479	24	M
942631719	450008479	27	M
942631718	450008479	44	M
942631717	450008479	22	M
942631716	450008479	31	M
942631715	450008479	31	M
942631714	450008479	30	M
942631713	450008479	18	M
942631712	450008479	22	M
942631711	450008479	44	M
942631710	450008479	32	M
942631709	450008479	33	M
942631708	450008479	51	M
942631707	450008479	24	M
942631706	450008479	26	M
942631705	450008479	58	M
942631704	450008479	31	M
942631703	450008479	48	M
942631702	450008479	51	M
942631701	450008479	26	M
942631700	450008479	29	M
942631699	450008479	41	M
942631698	450008479	44	M
942631697	450008479	22	M
942631696	450008479	46	M
942631695	450008479	39	M
942631694	450008479	25	M
942631693	450008479	20	M
942631692	450008479	27	M
942631691	450008479	23	M
942631690	450008479	21	M
942631689	450008479	35	M
942631688	450008479	39	M
942631687	450008479	29	M
942631686	450008479	32	M
942631685	450008479	23	M
942631684	450008479	32	M
942631683	450008479	32	M
942631682	450008479	44	M
942631681	450008479	30	M
942631680	450008479	36	M
942631679	450008479	25	M
942631678	450008479	30	M
942631677	450008479	41	M
942631676	450008479	41	M
942631675	450008479	27	M
942631674	450008479	48	M
942631673	450008479	62	M
942631672	450008479	37	M
942631671	450008479	35	M
942631670	450008479	50	M
942631669	450008479	33	M
942631668	450008479	31	M
942631667	450008479	37	M
942631666	450008479	40	M
942631665	450008479	35	M
942631664	450008479	40	M
942631663	450008479	33	M
942631662	450008479	39	M
942631661	450008479	25	M
942631660	450008479	38	M
942631659	450008479	38	M
942631658	450008479	21	M
942631657	450008479	40	M
942631656	450008479	49	M
942631655	450008479	24	M
942631654	450008479	35	M
942631653	450008479	22	M
942631652	450008479	35	M
942631651	450008479	20	M
942631650	450008479	38	M
942631649	450008479	28	M
942631648	450008479	22	M
942631647	450008479	23	M
942631646	450008479	23	M
942631645	450008479	45	M
942631644	450008479	24	M
942631643	450008479	26	M
942631642	450008479	20	M
942631641	450008479	37	M
942631640	450008479	20	M
942631639	450008479	21	M
942631638	450008479	52	M
942631637	450008479	42	M
942631636	450008479	60	M
942631635	450008479	45	M
942631634	450008479	26	M
942631633	450008479	35	M
942631632	450008479	29	M
942631631	450008479	42	M
942631630	450008479	39	M
942631629	450008479	47	M
942631628	450008479	63	M
942631627	450008479	47	M
942631626	450008479	54	M
942631625	450008479	18	M
942631624	450008479	54	M
942631623	450008479	21	M
942631622	450008479	47	M
942631621	450008479	25	M
942631620	450008479	34	M
942631619	450008479	22	M
942631618	450008479	42	M
942631617	450008479	25	M
942631616	450008479	42	M
942631615	450008479	34	M
942631614	450008479	32	M
942631613	450008479	29	M
942631612	450008479	33	M
942631611	450008479	32	M
942631610	450008479	43	M
942631609	450008479	54	M
942631608	450008479	60	M
942631607	450008479	43	M
942631606	450008479	60	M
942631605	450008479	29	M
942631604	450008479	31	M
942631603	450008479	22	M
942631602	450008479	27	M
942631601	450008479	27	M
942631600	450008479	49	M
942631599	450008479	22	M
942631598	450008479	45	M
942631597	450008479	52	M
942631596	450008479	24	M
942631595	450008479	31	M
942631594	450008479	45	M
942631593	450008479	30	M
942631592	450008479	28	M
942631591	450008479	45	M
942631590	450008479	21	M
942631589	450008479	20	M
942631588	450008479	34	M
942631587	450008479	51	M
942631586	450008479	33	M
942631585	450008479	21	M
942631584	450008479	59	M
942631583	450008479	37	M
942631582	450008479	43	M
942631581	450008479	29	M
942631580	450008479	31	M
942631579	450008479	31	M
942631578	450008479	26	M
942631577	450008479	30	M
942631576	450008479	36	M
942631575	450008479	24	M
942631574	450008479	25	M
942631573	450008479	25	M
942631572	450008479	39	M
942631571	450008479	49	M
942631570	450008479	20	M
942631569	450008479	28	M
942631568	450008479	21	M
942631567	450008479	40	M
942631566	450008479	44	M
942631565	450008479	28	M
942631564	450008479	59	M
942631563	450008479	62	M
942631562	450008479	26	M
942631561	450008479	24	M
942631560	450008479	51	M
942631559	450008479	28	M
942631558	450008479	33	M
942631557	450008479	35	M
942631556	450008479	22	M
942631537	450008479	22	M
942631538	450008479	25	M
942631539	450008479	22	M
942631540	450008479	48	M
942631541	450008479	34	M
942631542	450008479	48	M
942631543	450008479	30	M
942631544	450008479	34	M
942631545	450008479	24	M
942631546	450008479	53	M
942631547	450008479	49	M
942631548	450008479	42	M
942631549	450008479	42	M
942631550	450008479	41	M
942631551	450008479	54	M
942631552	450008479	61	M
942631553	450008479	35	M
942631554	450008479	22	M
942631555	450008479	53	M
942632400	450008479	76	M
942632399	450008479	68	M
942632398	450008479	77	M
942632397	450008479	76	M
942632396	450008479	79	M
942632395	450008479	89	M
942632394	450008479	66	M
942632393	450008479	69	M
942632392	450008479	66	M
942632391	450008479	43	M
942632390	450008479	31	M
942632389	450008479	24	M
942632388	450008479	45	M
942632387	450008479	22	M
942632386	450008479	22	M
942632385	450008479	41	M
942632384	450008479	42	M
942632383	450008479	53	M
942632382	450008479	30	M
942632381	450008479	25	M
942632380	450008479	23	M
942632379	450008479	30	M
942632378	450008479	40	M
942632377	450008479	27	M
942632376	450008479	57	M
942632375	450008479	38	M
942632374	450008479	47	M
942632373	450008479	22	M
942632372	450008479	39	M
942632371	450008479	44	M
942632370	450008479	21	M
942632369	450008479	41	M
942632368	450008479	47	M
942632367	450008479	27	M
942632366	450008479	46	M
942632365	450008479	25	M
942632364	450008479	40	M
942632363	450008479	48	M
942632362	450008479	39	M
942632361	450008479	56	M
942632360	450008479	27	M
942632359	450008479	29	M
942632358	450008479	31	M
942632357	450008479	45	M
942632356	450008479	45	M
942632355	450008479	39	M
942632354	450008479	44	M
942632353	450008479	36	M
942632352	450008479	22	M
942632351	450008479	47	M
942632350	450008479	42	M
942632349	450008479	45	M
942632348	450008479	25	M
942632347	450008479	35	M
942632346	450008479	33	M
942632345	450008479	52	M
942632344	450008479	22	M
942632343	450008479	51	M
942632342	450008479	24	M
942632341	450008479	43	M
942632340	450008479	24	M
942632339	450008479	32	M
942632338	450008479	19	M
942632337	450008479	38	M
942632336	450008479	26	M
942632335	450008479	51	M
942632334	450008479	33	M
942632333	450008479	46	M
942632332	450008479	40	M
942632331	450008479	43	M
942632330	450008479	47	M
942632329	450008479	27	M
942632328	450008479	33	M
942632327	450008479	63	M
942632326	450008479	37	M
942632325	450008479	46	M
942632324	450008479	32	M
942632323	450008479	21	M
942632322	450008479	28	M
942632321	450008479	34	M
942632320	450008479	21	M
942632319	450008479	32	M
942632318	450008479	26	M
942632317	450008479	51	M
942632316	450008479	35	M
942632315	450008479	59	M
942632314	450008479	35	M
942632313	450008479	37	M
942632312	450008479	23	M
942632311	450008479	53	M
942632310	450008479	64	M
942632309	450008479	33	M
942632308	450008479	56	M
942632307	450008479	51	M
942632306	450008479	31	M
942632305	450008479	46	M
942632304	450008479	23	M
942632303	450008479	29	M
942632302	450008479	21	M
942632301	450008479	56	M
942632300	450008479	36	M
942632299	450008479	36	M
942632298	450008479	32	M
942632297	450008479	40	M
942632296	450008479	31	M
942632295	450008479	31	M
942632294	450008479	49	M
942632293	450008479	34	M
942632292	450008479	57	M
942632291	450008479	21	M
942632290	450008479	45	M
942632289	450008479	54	M
942632288	450008479	32	M
942632287	450008479	38	M
942632286	450008479	29	M
942632285	450008479	44	M
942632284	450008479	27	M
942632283	450008479	35	M
942632282	450008479	24	M
942632281	450008479	45	M
942632280	450008479	50	M
942632279	450008479	20	M
942632278	450008479	23	M
942632277	450008479	51	M
942632276	450008479	30	M
942632275	450008479	36	M
942632274	450008479	50	M
942632273	450008479	29	M
942632272	450008479	26	M
942632271	450008479	49	M
942632270	450008479	35	M
942632269	450008479	59	M
942632268	450008479	57	M
942632267	450008479	32	M
942632266	450008479	46	M
942632265	450008479	48	M
942632264	450008479	44	M
942632263	450008479	38	M
942632262	450008479	41	M
942632261	450008479	24	M
942632260	450008479	48	M
942632259	450008479	34	M
942632258	450008479	34	M
942632257	450008479	26	M
942632256	450008479	40	M
942632255	450008479	28	M
942632254	450008479	31	M
942632253	450008479	26	M
942632252	450008479	41	M
942632251	450008479	24	M
942632250	450008479	36	M
942632249	450008479	22	M
942632248	450008479	42	M
942632247	450008479	64	M
942632246	450008479	28	M
942632245	450008479	24	M
942632244	450008479	26	M
942632243	450008479	46	M
942632242	450008479	26	M
942632241	450008479	41	M
942632240	450008479	38	M
942632239	450008479	48	M
942632238	450008479	31	M
942632237	450008479	48	M
942632236	450008479	33	M
942632235	450008479	29	M
942632234	450008479	25	M
942632233	450008479	53	M
942632232	450008479	41	M
942632231	450008479	51	M
942632230	450008479	40	M
942632229	450008479	46	M
942632228	450008479	24	M
942632227	450008479	41	M
942632226	450008479	23	M
942632225	450008479	42	M
942632224	450008479	32	M
942632223	450008479	29	M
942632222	450008479	45	M
942632221	450008479	42	M
942632220	450008479	41	M
942632219	450008479	32	M
942632218	450008479	23	M
942632217	450008479	26	M
942632216	450008479	21	M
942632215	450008479	43	M
942632214	450008479	40	M
942632213	450008479	31	M
942632212	450008479	31	M
942632211	450008479	25	M
942632210	450008479	37	M
942632209	450008479	30	M
942632207	450008479	21	M
942632206	450008479	24	M
942632205	450008479	38	M
942632204	450008479	39	M
942632203	450008479	23	M
942632202	450008479	18	M
942632201	450008479	49	M
942632200	450008479	28	M
942632199	450008479	41	M
942632198	450008479	51	M
942632197	450008479	58	M
942632196	450008479	28	M
942632195	450008479	52	M
942632194	450008479	38	M
942632193	450008479	19	M
942632192	450008479	41	M
942632191	450008479	36	M
942632190	450008479	37	M
942632189	450008479	56	M
942632188	450008479	54	M
942632187	450008479	30	M
942632186	450008479	48	M
942632185	450008479	23	M
942632184	450008479	46	M
942632183	450008479	42	M
942632182	450008479	26	M
942632181	450008479	26	M
942632180	450008479	37	M
942632179	450008479	29	M
942632178	450008479	54	M
942632177	450008479	47	M
942632176	450008479	54	M
942632175	450008479	21	M
942632174	450008479	30	M
942632173	450008479	40	M
942632172	450008479	27	M
942632171	450008479	39	M
942632170	450008479	61	M
942632169	450008479	20	M
942632168	450008479	25	M
942632167	450008479	25	M
942632166	450008479	46	M
942632165	450008479	47	M
942632164	450008479	20	M
942632163	450008479	30	M
942632162	450008479	44	M
942632161	450008479	25	M
942632160	450008479	23	M
942632159	450008479	57	M
942632158	450008479	21	M
942632157	450008479	27	M
942632156	450008479	39	M
942632155	450008479	53	M
942632154	450008479	47	M
942632153	450008479	26	M
942632152	450008479	62	M
942632151	450008479	20	M
942632150	450008479	34	M
942632149	450008479	49	M
942632148	450008479	23	M
942632147	450008479	54	M
942632146	450008479	41	M
942632145	450008479	32	M
942632144	450008479	21	M
942632143	450008479	44	M
942632142	450008479	31	M
942632141	450008479	48	M
942632140	450008479	31	M
942632139	450008479	30	M
942632138	450008479	22	M
942632137	450008479	59	M
942632136	450008479	44	M
942632135	450008479	23	M
942632134	450008479	23	M
942632133	450008479	26	M
942632132	450008479	20	M
942632131	450008479	30	M
942632130	450008479	60	M
942632129	450008479	44	M
942632128	450008479	26	M
942632127	450008479	37	M
942632126	450008479	29	M
942632125	450008479	62	M
942632124	450008479	49	M
942632123	450008479	40	M
942632122	450008479	26	M
942632121	450008479	31	M
942632120	450008479	28	M
942632119	450008479	62	M
942632118	450008479	30	M
942632117	450008479	27	M
942632116	450008479	21	M
942632115	450008479	30	M
942632114	450008479	48	M
942632113	450008479	42	M
942632112	450008479	47	M
942632111	450008479	27	M
942632110	450008479	41	M
942632109	450008479	32	M
942632108	450008479	32	M
942632107	450008479	34	M
942632106	450008479	24	M
942632105	450008479	26	M
942632104	450008479	41	M
942632103	450008479	48	M
942632102	450008479	24	M
942632101	450008479	44	M
942632100	450008479	21	M
942632099	450008479	29	M
942632098	450008479	34	M
942632097	450008479	22	M
942632096	450008479	42	M
942632095	450008479	42	M
942632094	450008479	28	M
942632093	450008479	31	M
942632092	450008479	52	M
942632091	450008479	31	M
942632090	450008479	20	M
942632089	450008479	37	M
942632088	450008479	27	M
942632087	450008479	38	M
942632086	450008479	23	M
942632085	450008479	43	M
942632084	450008479	32	M
942632083	450008479	21	M
942632082	450008479	32	M
942632081	450008479	21	M
942632080	450008479	30	M
942632079	450008479	42	M
942632078	450008479	40	M
942632077	450008479	32	M
942632076	450008479	24	M
942632075	450008479	50	M
942632074	450008479	37	M
942632073	450008479	30	M
942632072	450008479	41	M
942632071	450008479	46	M
942632070	450008479	48	M
942632069	450008479	24	M
942632068	450008479	26	M
942632067	450008479	31	M
942632066	450008479	51	M
942632065	450008479	50	M
942632064	450008479	23	M
942632063	450008479	32	M
942632062	450008479	27	M
942632061	450008479	55	M
942632060	450008479	20	M
942632059	450008479	36	M
942632058	450008479	39	M
942632057	450008479	44	M
942632056	450008479	29	M
942632055	450008479	37	M
942632054	450008479	33	M
942632053	450008479	37	M
942632052	450008479	48	M
942632051	450008479	37	M
942632050	450008479	43	M
942632049	450008479	49	M
942632048	450008479	48	M
942632047	450008479	21	M
942632046	450008479	38	M
942632045	450008479	20	M
942632044	450008479	40	M
942632043	450008479	20	M
942632042	450008479	50	M
942632041	450008479	39	M
942632040	450008479	20	M
942632039	450008479	39	M
942632038	450008479	29	M
942632037	450008479	44	M
942632036	450008479	25	M
942632035	450008479	26	M
942632034	450008479	29	M
942632033	450008479	22	M
942632032	450008479	37	M
942632031	450008479	53	M
942632030	450008479	30	M
942632029	450008479	43	M
942632028	450008479	38	M
942632027	450008479	51	M
942632026	450008479	20	M
942632025	450008479	43	M
942632024	450008479	30	M
942632023	450008479	32	M
942632526	450022196	20	F
942632525	450022196	28	F
