sp_id	gq_type	stcotrbg	persons	latitude	longitude
450030748	N	421010333001	175	40.0616770	-75.0428800
450030749	N	421010342002	119	40.0832538	-75.0641464
450030750	N	421010356011	116	40.0911200	-75.0470700
450030751	N	421010360001	366	40.0969420	-75.0180020
450036525	N	421010012024	54	39.9449099	-75.1678622
450036526	N	421010042022	169	39.9167943	-75.1546136
450036527	N	421010081023	1	39.9536883	-75.2364083
450036528	N	421010122042	89	39.9996937	-75.2097379
450036529	N	421010203002	31	40.0166763	-75.1476800
450036530	N	421010387002	83	40.0837142	-75.2097488
450036531	N	421010236002	177	40.0408391	-75.1874400
450036532	N	421010237002	178	40.0561289	-75.1877676
450036533	N	421010238004	18	40.0378650	-75.1843950
450036534	N	421010241001	88	40.0343419	-75.1770838
450036535	N	421010241001	90	40.0321100	-75.1750000
450036536	N	421010256001	93	40.0703304	-75.1842573
450036537	N	421010268001	80	40.0609367	-75.1372960
450036538	N	421010268001	76	40.0587715	-75.1386523
450036539	N	421010340001	19	40.0708685	-75.0712620
450036540	N	421010365011	110	40.1297945	-75.0100701
450037919	N	421010238005	175	40.0392793	-75.1849704
450039291	N	421010078003	15	39.9462175	-75.2189975
450039292	N	421010333001	175	40.0588328	-75.0437228
450040337	N	421010306001	111	40.0480315	-75.0913180
450040338	N	421010333001	173	40.0602830	-75.0434960
450041366	N	421010071013	93	39.9404575	-75.2218113
450042422	N	421010220001	153	40.0608771	-75.2445288
450042423	N	421010252006	162	40.0477805	-75.1803170
450042424	N	421010282003	104	40.0382781	-75.1447105
450042425	N	421010334003	211	40.0548857	-75.0540439
450042426	N	421010365011	107	40.1225472	-75.0130319
450046508	N	421010006001	17	39.9493845	-75.1583355
450046509	N	421010373003	46	39.9020475	-75.1846020
450046510	N	421010066001	57	39.9310942	-75.2266750
450046511	N	421010067007	7	39.9274954	-75.2230280
450046512	N	421010078001	116	39.9454443	-75.2133123
450046513	N	421010083012	388	39.9579611	-75.2456843
450046514	N	421010084003	3	39.9571335	-75.2367224
450046515	N	421010369003	117	39.9538643	-75.1876752
450046516	N	421010105003	165	39.9631112	-75.2137124
450046517	N	421010112006	2	39.9750282	-75.2347353
450046518	N	421010122031	127	40.0079987	-75.2086050
450046519	N	421010125001	134	39.9604277	-75.1658763
450046520	N	421010132001	175	39.9665998	-75.1550685
450046521	N	421010157001	4	39.9806674	-75.1372958
450046522	N	421010160007	8	39.9804478	-75.1249768
450046523	N	421010195013	5	40.0002711	-75.1303865
450046524	N	421010217004	5	40.0393642	-75.2179609
450046525	N	421010268003	8	40.0562396	-75.1414540
450046526	N	421010269001	247	40.0541486	-75.1285231
450046527	N	421019802001	296	40.0815782	-75.0614753
450046528	N	421010344002	226	40.0890165	-75.0520244
450046529	N	421010344003	3	40.0958479	-75.0540561
450046530	N	421010351002	148	40.0459105	-74.9855120
450046531	N	421010357011	3	40.1070946	-75.0296763
450046532	N	421010359001	10	40.1167480	-75.0163150
450046533	N	421010362011	2	40.0791653	-74.9831755
450046534	N	421010364001	141	40.1129899	-74.9867619
